pmid,g2p_id
8826474,G2P00658
8828600,G2P00275
8829638,G2P00410
8829663,G2P00946
8830183,G2P01372
8831077,G2P00275
8832719,G2P01421
8833493,G2P01621
8834253,G2P00658
8837715,G2P00410
8840114,G2P01621
8840466,G2P00855
8841189,G2P00639
8844064,G2P00658
8844082,G2P00658
8844088,G2P00658
8845458,G2P00473
8845835,G2P01390
8851771,G2P00944
8852658,G2P01482
8852666,G2P01026
8856518,G2P00410
8862184,G2P00658
8863161,G2P01513
8872026,G2P00658
8872707,G2P00799;G2P01002
8874222,G2P01407
8879993,G2P00944
8880574,G2P01257
8880577,G2P01013
8884070,G2P00828
8884827,G2P00680
8889590,G2P00275
8892014,G2P00275
8892033,G2P00275
8893736,G2P00410
8896568,G2P00680
8896624,G2P00410
8898592,G2P00828
8900236,G2P00237
8901418,G2P00680
8906451,G2P01256
8915311,G2P00410
8923825,G2P01167
8929950,G2P00946
8938701,G2P01621
8940265,G2P00951
8942889,G2P00805
8945471,G2P00999
8946176,G2P00275
8950674,G2P01621
8950680,G2P00021
8950839,G2P01159
8953413,G2P01189
8956038,G2P00088
8956049,G2P01040
8956850,G2P01119
8961134,G2P01578
8968741,G2P00782
8972540,G2P00658
8977385,G2P00276
8981019,G2P01423
8988166,G2P00842
8989454,G2P01176
8989459,G2P00410
8990013,G2P00275
8990018,G2P00828
9001799,G2P00507
9002528,G2P01307
9007315,G2P00021
9007319,G2P01621
9007327,G2P01227
9008816,G2P01119
9020844,G2P01221
9021009,G2P01483
9021013,G2P00577
9024232,G2P00276
9032640,G2P00658
9033181,G2P00088
9039987,G2P00342
9039995,G2P00507
9042807,G2P00182
9042917,G2P01293
9043870,G2P00680
9048930,G2P01586
9050047,G2P02294
9054938,G2P01300
9059565,G2P00198
9060147,G2P00321
9061565,G2P00600
9064003,G2P00088
9066982,G2P00235
9067753,G2P00648
9067923,G2P00054
9077535,G2P01298
9096354,G2P01334
9096754,G2P01621
9100579,G2P01099
9101289,G2P00934
9106550,G2P00507
9109916,G2P00410
9111993,G2P00680
9116424,G2P00240
9124055,G2P00275
9125334,G2P00198
9128879,G2P00410
9128931,G2P00749
9132492,G2P00011
9138150,G2P01032
9139226,G2P01099
9140401,G2P00536
9143930,G2P01621
9147653,G2P00951
9150727,G2P00733
9150736,G2P01621
9151312,G2P00043
9153481,G2P01119
9153525,G2P01042
9156036,G2P00507
9158144,G2P00491
9158149,G2P00645
9161958,G2P01256
9177981,G2P00446
9182823,G2P01226
9185180,G2P00645
9186245,G2P01560
9186905,G2P02068
9187663,G2P00410
9192863,G2P00284
9196904,G2P00709
9202622,G2P00341
9211190,G2P00698
9211201,G2P00828
9213050,G2P03412
9215781,G2P01321
9222756,G2P02972
9222763,G2P00951
9222967,G2P00410
9224530,G2P01621
9225964,G2P00698
9232624,G2P00577
9238292,G2P00680
9240878,G2P00021
9242515,G2P00283
9246006,G2P00700
9249769,G2P00019
9252147,G2P00088
9252933,G2P00507
9254848,G2P01013
9255228,G2P00276
9255265,G2P00680
9258809,G2P00276
9259292,G2P01621
9266215,G2P00341
9266371,G2P00186
9266403,G2P01227
9266556,G2P00197
9268105,G2P00197
9279764,G2P00178
9285776,G2P01636
9285950,G2P03298
9286449,G2P00749
9290257,G2P00276
9293234,G2P00410
9295080,G2P00946
9300663,G2P00410
9309712,G2P00645
9311751,G2P03465
9322805,G2P00321
9323299,G2P01115
9326332,G2P00658
9327035,G2P00855
9327843,G2P01562
9338583,G2P01042
9341861,G2P00121
9341885,G2P00737
9341892,G2P01419
9342192,G2P01560
9345097,G2P01116
9349452,G2P00855
9350811,G2P01621
9354785,G2P01300
9354798,G2P00661
9359037,G2P01119
9359046,G2P00149
9361030,G2P00149
9367297,G2P00321
9375726,G2P00658
9375769,G2P00342
9380432,G2P00275
9382096,G2P01173
9382152,G2P00209
9385377,G2P00031
9386672,G2P00321
9390563,G2P00531
9391881,G2P00275
9392393,G2P01517
9395131,G2P01159
9399890,G2P00906
9399911,G2P00862
9401003,G2P01013
9401107,G2P00113
9402957,G2P00042
9403710,G2P01167
9409377,G2P00551
